DATAFLOW,LAST UPDATE,freq,pesticid,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2011,1544218,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2012,1634371,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2013,1492799,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2014,1641055,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2015,2130973,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2016,2006542,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2017,1991638,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2018,2268659,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,AT,2019,2068059,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2011,2452096,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2012,2724804,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2013,2519857,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2014,3131351,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2015,2611185,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2016,2856228,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2017,2495880,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2018,2457618,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BE,2019,2449418,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2011,,cd
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2012,474395,d
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2013,380174,d
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2014,186142,d
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2015,619022,d
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2016,1048879,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2017,1287452,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2018,1798029,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,BG,2019,1578538,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2011,932864,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2012,968306,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2013,1013293,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2014,1036885,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2015,1033836,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2016,996154,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2017,978524,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2018,978769,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2019,954300,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CH,2020,979878,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2011,894770,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2012,837480,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2013,804761,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2014,772662,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2015,781151,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2016,803815,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2017,817955,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2018,823467,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2019,867436,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CY,2020,862578,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CZ,2011,1626666,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CZ,2012,1410021,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CZ,2013,1661560,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CZ,2014,1782187,
ESTAT:AEI_FM_SALPEST09(1.0),18/01/22 11:00:00,A,F,KG,CZ,2015,2109337,
